filename,data
img_1_1.jpg,APRL_001,Women's Kurta Set,traditional,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Woven pattern",Female,"Pink, White",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_1_2.jpg,APRL_001,Embellished Velvet Caftan Robe,traditional,Adults,L,Velvet,Mid-Range,Full wear,"Soft, Plush Velvet, Sparkling Embellishments",Female,Green,Full sleeves,"Party, Formal, Festive, Special Occasion","pear, apple, inverted triangle, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_279.jpg,APRL_001,Embroidered Strapless Gown,gown,image_url_placeholder.jpg,Adults,M,Georgette Blend,Mid-Range,Top wear,"Smooth fabric, Intricate embroidery, Beadwork",Female,"Green, Gold, Blue, White","Sleeveless, Strapless","party, wedding, formal, festive, evening wear","hourglass, pear, rectangle, apple","oval, round, heart","fair, light, tan, olive","warm, neutral"
img_281.jpg,APRL_001,Embroidered Kaftan Dress,traditional,N/A,Adults,L,"Georgette, Zari Embroidery",High-End,Dress/Gown,"Smooth fabric, Intricate embroidery",Female,"Red, Gold",Full sleeves,"Party, Wedding, Festive, Formal, Special Occasion","hourglass, pear, apple, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, fair, light","warm, neutral"
img_282.jpg,APRL_001,Speckled Cream Hoodie with Rainbow Trim,casual,N/A,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Speckled, Ribbed cuffs, Decorative trim",Female,"Cream, Multicolored",Full sleeves,"casual, everyday, autumn, winter","rectangle, apple, pear, hourglass","oval, round, square","fair, light, tan, olive",neutral
img_283.jpg,APRL_001,Embroidered Kaftan Dress,"Full-length image of a model wearing a coral kaftan dress",,Adults,M,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Coral, Gold",Full sleeves,"party, wedding, formal, festive, seasonal, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_284.jpg,APRL_001,Mens Nehru Jacket with Kurta,Original image,Original image,Adults,L,"Silk Blend (Jacket), Cotton Blend (Kurta)",Mid-Range,Top wear,"Smooth fabric, subtle textured weave (jacket), subtle woven pattern (kurta)",Male,"Mustard Yellow, Black (accents), White",Sleeveless (jacket), Full sleeves (kurta),"traditional, festive, wedding, party, semi-formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","tan, olive, fair, light","warm, neutral"
img_285.jpg,ERROR: got status: 503 Service Unavailable. {"error":{"code":503,"message":"The model is overloaded. Please try again later.","status":"UNAVAILABLE"}}
img_286.jpg,APRL_001,Embellished Abaya Cardigan,original,,Adults,Free Size,Polyester Blend,Mid-Range,Outerwear,"Smooth fabric, Rhinestone embellishment",Female,Black,"Full sleeves, Bell sleeves","casual, party, formal, special occasion, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_287.jpg,APRL_001,Abaya with Floral Embroidery,traditional,Adults,L,Crepe Blend,Mid-Range,Outerwear,"Smooth fabric, Floral Embroidery",Female,Black,"Long sleeves, Wide cuffs","casual, formal, religious, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_288.jpg,APRL_001,Teal Embroidered Lehenga Choli,traditional,,Adults,L,Art Silk, Net,High-Range,Full Ensemble (Top wear, Bottom wear, Dupatta),"Smooth fabric, heavy embroidery, embellished",Female,Teal Green,Short sleeves,"Wedding, Festival, Party, Engagement, Sangeet, Formal","hourglass, pear, rectangle, inverted triangle","oval, round, heart, diamond","fair, light, tan, olive","neutral, cool"
img_289.jpg,APRL_001,Men's Athletic Track Pants,Athletic,,Adults,L,Polyester Blend,Mid-Range,Bottom wear,"Smooth fabric, Striped",Male,"Black, Grey, White",N/A,"gym, workout, running, casual, sports, athletic","rectangle, inverted triangle, apple, pear, hourglass",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_290.jpg,APRL_001,Men's Printed Kurta Set,original,,Adults,L,Silk Blend,Mid-Range,Top wear and Bottom wear,"Smooth fabric, Printed, Geometric pattern",Male,"Navy Blue, White",Full sleeves,"casual, party, festive, wedding, formal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_291.jpg,APRL_003,Men's Sherpa Lined Hooded Jacket,N/A,N/A,Adults,N/A,"Polyester Blend, Sherpa Fleece",Mid-Range,Top wear,"Smooth outer, Fluffy inner",Male,"Black, Cream",Full sleeves,"casual, winter, outdoor","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_292.jpg,APRL_001,Men's Thobe,original image,,Adults,Various,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,White,Full sleeves,"casual, formal, religious, seasonal, traditional","rectangle, apple, pear, inverted triangle","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,Men's Thobe,original image,,Adults,Various,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,Light Blue,Full sleeves,"casual, formal, religious, seasonal, traditional","rectangle, apple, pear, inverted triangle","oval, round, square, rectangular","fair, light, tan, olive","cool, neutral"
APRL_003,Men's Thobe,original image,,Adults,Various,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,Cream,Full sleeves,"casual, formal, religious, seasonal, traditional","rectangle, apple, pear, inverted triangle","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral"
APRL_004,Men's Thobe,original image,,Adults,Various,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,Maroon,Full sleeves,"casual, formal, religious, seasonal, traditional","rectangle, apple, pear, inverted triangle","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_293.jpg,APRL_003,Asymmetrical Layered Modest Dress,modest, Adults,L,Crepe Blend,Mid-Range,Dress,"Smooth fabric, Flowy",Female,"Black, Light Pink",Full sleeves,"casual, daily wear, formal, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_294.jpg,APRL_001,Women's Embroidered Kurta Set,traditional,,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery, Sheer",Female,"White, Black, Grey",Three-quarter sleeves,"casual, festive, semi-formal, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_295.jpg,D.NO-2001_B,Embroidered Palazzo Suit with Dupatta,traditional,,Adults,L,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate Embroidery",Female,Purple,Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_297.jpg,APRL_001,Women's Anarkali Kurta Set,original image,N/A,Adults,M,Georgette Blend,Mid-Range,"Top wear, Bottom wear","Flowy fabric, Embroidered, Sequin details",Female,Red,Full sleeves,"casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_298.jpg,APRL_003,Women's Sharara Suit,traditional,Adults,M,Georgette Blend,Mid-Range,"Top wear, Bottom wear","Printed, Embroidered, Pleated",Female,"Dark Blue, Teal, Olive Green, Gold",Sleeveless,"Festive, Wedding, Party, Cultural Events","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_299.jpg,APRL_001,Embellished Kaftan,traditional,https://i.imgur.com/example_kaftan.jpg,Adults,Free size,Georgette,Mid-Range,Overall wear,"Smooth fabric, heavy embroidery, embellished",Female,"Teal, Gold",Kimono sleeves,"Party, Festive, Wedding, Special Occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_300.jpg,APRL_003,Women's Kaftan Dress,Traditional,,Adults,L,Georgette,Mid-Range,Dress,"Smooth fabric, Embellished, Flowy",Female,Black,Batwing sleeves,"party, wedding, festive, formal","apple, rectangle, pear, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_301.jpg,APRL_003,"Embroidered Strapless Gown",Full_Image_1,,Adults,M,"Chiffon, Embellished fabric",Mid-Range,Gown,"Smooth fabric, Intricate embroidery, Beading",Female,"Sky Blue, Gold, Silver",Strapless,"party, wedding, formal, festive","hourglass, pear, rectangle, apple","oval, heart, square, round","fair, light, tan, olive","cool, neutral"
img_302.jpg,APRL_001,Women's Kaftan Gown,original,N/A,Adult,Multiple sizes,Georgette Blend,Mid-Range,One-piece dress,"Flowy, Sheer, Pleated, Embellished",Female,"Hot Pink, Aqua Blue, Silver","Full sleeves (inner), Batwing sleeves (outer)",Party, Festive, Casual,"hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","cool, neutral"
img_303.jpg,APRL_001,Embroidered Kaftan Gown,traditional,N/A,Adults,"M, L","Faux Georgette, Embroidery","Mid-Range, High-Range",Gown,"Smooth fabric, Intricate embroidery, Embellished",Female,"Teal Green, Gold, White",Full sleeves,"party, wedding, festive, formal, cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_304.jpg,APRL_001,High-Waist Leggings,activewear,,Adults,M,Polyester/Spandex Blend,Mid-Range,Bottom wear,"Smooth, Stretchy",Female,Sky Blue,N/A,"Gym, Yoga, Running, Pilates, Casual, Athleisure","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
img_305.jpg,APRL_001,Men's Sherwani Suit,traditional,,Adults,Unknown,"Brocade, Silk Blend",High-Range,"Full outfit (Top wear & Bottom wear)","Jacquard pattern, Smooth fabric",Male,"Grey, Gold",Full sleeves,"Weddings, festive occasions, formal events, parties","rectangle, inverted triangle, pear","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral, cool"
img_306.jpg,APRL_001,Embroidered Kaftan Gown,full shot, model wearing traditional kaftan gown,N/A,Adults,M,Georgette Blend,High-Range,Dress,"Smooth fabric, Intricate gold embroidery, Beading",Female,Yellow,Full sleeves,"wedding, party, festive, formal, cultural event","hourglass, pear, rectangle, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark",warm, neutral
img_307.jpg,APRL_001,Women's White Embroidered Tunic,white_tunic.jpg,,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Female,White,3/4 sleeves,"casual, daily wear, ethnic casual, light festive","rectangle, pear, apple, hourglass","oval, round, heart","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
APRL_002,Women's Navy Blue Leggings,navy_leggings.jpg,,Adults,M,Cotton Blend,"Low-Range, Mid-Range",Bottom wear,"Smooth fabric, Stretchy",Female,Navy Blue,N/A,"casual, daily wear, lounge wear","rectangle, hourglass, pear, inverted triangle, apple",,"fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_308.jpg,APRL_003,Embroidered Kaftan Maxi Dress,traditional,https://oaidalleapiprodscus.blob.core.windows.net/private/org-vB0eW3WfP0lX7lYQ4J2F0K8P/user-vN78n5w8X77T6U4B1I3hK8W2/img-wTz19143W2G0rU4qU8H7v2C2.png?st=2024-05-18T10%3A50%3A58Z&se=2024-05-18T12%3A50%3A58Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6ee04d8c-21a4-474f-8671-55a65d78779b&sktid=a48cca56-e6da-484e-a813-987e1e486e52&skt=2024-05-18T04%3A40%3A42Z&ske=2024-05-19T04%3A40%3A42Z&sks=b&skv=2021-08-06&sig=c1sJ/R6M3Uo72yE43eMpHk7%2BN4YvT37fO7xW9Y5qA5k%3D,Adults,"S, M, L, XL",Chiffon Blend,Mid-Range,Full Dress,"Smooth, Embroidered",Female,"Teal, Gold",Full sleeves,"party, wedding, formal, festive, special occasion","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark","warm, neutral, cool"
img_309.jpg,ABY_001,Abaya Dress,Full dress,Image provided,Adults,Free Size,Crepe,Mid-Range,Full dress,"Smooth, Flowy, Pleated neckline",Female,Black,Full sleeves,"Daily wear, Casual, Religious, Formal, Seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_310.jpg,APRL_003,Embroidered Lehenga Choli Set,traditional,,Adults,L,"Net with faux silk lining, Embroidery",High-Range,"Top wear, Bottom wear","Embroidered, Net, Smooth lining",Female,Light Gold,Short sleeves,"wedding, festive, party, ceremonial","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_311.jpg,APRL_001,Men's Black Joggers,Product image,https://i.imgur.com/3p0jTzB.jpeg,Adults,M,Polyester Blend,Mid-Range,Bottom wear,Smooth fabric,Male,Black,N/A,"casual, sports, loungewear","rectangle, inverted triangle, apple, pear",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_312.jpg,APRL_003,Mens Kurta,traditional,https://i.ibb.co/b1154J1/image.png,Adults,L,Cotton Blend,Mid-Range,Top wear,"Subtle woven pattern, Embroidery",Male,Dark Purple,Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light","neutral, cool, warm"
img_313.jpg,APRL_001,Men's Hooded Windbreaker Jacket,casual,,Adults,L,Polyester Blend,Mid-Range,Top wear,"Subtle Camo Pattern, Smooth, Elasticated Cuffs",Male,Black,Full sleeves,"casual, outdoor, daily wear, sport, travel","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_314.jpg,APRL_001,Men's Thobe,traditional,N/A,Adults,L,Cotton Blend,Mid-Range,Full wear,"Smooth fabric, Button detailing",Male,Black,Full sleeves,"casual, religious, formal, party, seasonal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, rectangular, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_315.jpg,APRL_001,Ruffled Abaya Dress,modest,N/A,Adults,L,Crepe,Mid-Range,Dress,"Smooth fabric, Ruffles",Female,Burgundy,Full sleeves,"casual, formal, party, special occasions","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_316.jpg,APRL_003,Women's Kurta Set,"ethnic, traditional",N/A,Adults,M,"Cotton Blend (Kurta, Pants), Organza (Dupatta)",Mid-Range,"Top wear (Kurta), Bottom wear (Pants), Dupatta","Smooth, Striped (Kurta), Sheer, Printed (Dupatta)",Female,"Light Green (Kurta, Pants), Light Yellow with Orange, Light Blue, Green accents (Dupatta)",3/4 sleeves,"casual, semi-formal, festive, daily wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","warm, neutral, cool"
img_317.jpg,APRL_003,Palazzo Suit with Dupatta,"traditional, embroidered",,Adults,L,Silk Blend,Mid-Range,Full Suit (Top, Bottom, Dupatta),"Smooth fabric, Intricate Zari embroidery, Flowing drape, Ombre effect on dupatta",Female,"Deep Purple, Magenta, Hot Pink",Full sleeves,"Festive, Wedding, Party, Cultural events, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_318.jpg,APRL_001,Designer Anarkali Dhoti Suit,Traditional Indian,,Adults,M,"Rayon Blend, Zari Embroidery",Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate embroidery, Sheer (dupatta)",Female,"Navy Blue, Gold",Full sleeves,"Party, Wedding, Festive, Cultural","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart","fair, light, tan, olive","neutral, cool, warm"
img_319.jpg,APRL_001,Anarkali Gown,traditional,,Adults,L,Georgette Blend,High-Range,Gown,"Embellished, Embroidered, Smooth fabric",Female,"Teal, Green, Gold",Full sleeves,"wedding, party, festive, formal","hourglass, pear, rectangle, inverted triangle","oval, round, heart, diamond","ebony, dark, tan, olive, fair, light","neutral, cool"
img_320.jpg,APRL_003,Embroidered Kurta Sharara Set,traditional,,Adults,M,Georgette Blend,High-Range,"Top wear, Bottom wear","Smooth fabric, Intricate embroidery",Female,"Black, Off-white",Full sleeves,"festive, wedding, party, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_321.jpg,ERROR: exception TypeError: fetch failed sending request
img_322.jpg,ERROR: exception TypeError: fetch failed sending request
img_323.jpg,ERROR: exception TypeError: fetch failed sending request
img_324.jpg,APRL_001,Women's Embroidered Kaftan,traditional,,Adults,L,Georgette Blend,Mid-Range,Dress,"Smooth fabric, intricate embroidery, beaded embellishments",Female,"Black, White","Long sleeves, Bell sleeves","casual, party, festive, formal, wedding, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_325.jpg,APRL_001,Embellished Kaftan Gown,traditional,,Adults,L,Georgette Blend,Mid-Range,Full-length dress,"Smooth fabric, Embroidery, Beaded",Female,"Navy Blue, Gold",Full sleeves,"party, wedding, festive, formal, special occasion","hourglass, pear, rectangle, apple","oval, round, square, heart","dark, tan, olive, fair, light","warm, neutral, cool"
img_326.jpg,APRL_001,"Women's Faux Leather Biker Jacket",street_style,,Adult,L,Faux Leather,Mid-Range,Top wear,"Smooth, structured, glossy",Female,Black,Sleeveless,"casual, party, street style","rectangle, pear, hourglass, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,"Women's Ribbed Knit Crop Top",casual_trendy,,Adult,L,"Ribbed Knit Blend",Low-Range,Top wear,"Ribbed, soft",Female,Green,Short sleeves,"casual, party, street style","pear, hourglass, rectangle, inverted triangle","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","warm, neutral"
APRL_003,"Women's High-Waisted Flare Trousers",chic_flare,,Adult,L,"Polyester Blend",Mid-Range,Bottom wear,"Smooth, draped",Female,Black,N/A,"casual, party, formal, office, street style","hourglass, pear, rectangle, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_327.jpg,APRL_001,Men's Nehru Jacket,main,,Adults,L,Silk Blend,Mid-Range,Top wear,"Textured, Structured",Male,"Maroon, Black",Sleeveless,"casual, party, wedding, formal, traditional, festive","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_328.jpg,APRL_003,Embroidered Kaftan Dress with Hijab,original,Not provided,Adults,Free size,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Intricate gold embroidery, Embellished",Female,"Coral Red, Gold",Full sleeves,"party, wedding, formal, cultural, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_329.jpg,APRL_001,Women's Embroidered Kurta Set with Dupatta,Lifestyle shot,N/A,Adults,Unknown,Rayon Blend,Mid-Range,"Top wear, Bottom wear",Smooth fabric, Embroidery,Female,Rust Orange,Full sleeves,"casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","warm, neutral"
img_330.jpg,APRL_001,Embellished Sheer Long Kimono Abaya,full length, N/A,Adults,Free size,Sheer Chiffon, Sequin,Mid-Range,Top wear,"Sheer, Flowy, Embellished, Sequin",Female,"Teal, Red, Green",Long sleeves,"Party, Festive, Evening, Special Occasion, Casual","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_331.jpg,APRL_001,Kaftan Abaya with Embellishments,traditional,,Adults,L,Crepe,Mid-Range,Dress, Outerwear,"Smooth fabric, Metallic embellishments, Beaded",Female,"Black, Silver",Long sleeves, Batwing,"formal, party, religious events, Eid","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_332.jpg,APRL_001,Women's Sharara Suit Set,traditional,Adults,L,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Embroidered, Smooth fabric, Flowy",Female,"Dark Green, Deep Purple, Navy Blue",Full sleeves,"party, wedding, festive, formal, seasonal","rectangle, pear, hourglass, inverted triangle","oval, round, square, heart","tan, olive, fair, light, dark","cool, neutral, warm"
img_333.jpg,APRL_001,Men's Pleated Dress Trousers,Formal,,Adults,M,Polyester Blend,Mid-Range,Bottom wear,"Smooth fabric, Plain, Pleated",Male,Grey,N/A,"formal, business, cocktail, party, smart casual","rectangle, inverted triangle, apple, hourglass","oval, square, rectangular","fair, light, olive, tan, dark","warm, neutral, cool"
img_334.jpg,APRL_001,Men's Kurta,traditional,,Adults,L,Art Silk,Mid-Range,Top wear,"Smooth fabric, Dotted print",Male,Teal Blue,Full sleeves,"casual,party,wedding,festive,formal,seasonal","rectangle,inverted triangle,apple,pear","oval,round,square,rectangular","dark,tan,olive,fair,light","neutral,cool"
img_335.jpg,APRL_001,Men's Casual Shirt,casual,https://i.imgur.com/g055yTj.png,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,Grey,"Full sleeves (rolled up)","casual, daily wear, semi-formal","rectangle, inverted triangle, apple, pear","oval, rectangular, square, round","fair, light, tan, olive","neutral, cool, warm"
img_336.jpg,APRL_003,Men's Djellaba,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Textured fabric, Embroidery",Male,Light Grey,Full sleeves,"casual, religious, cultural, festive, seasonal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_337.jpg,APRL_001,Women's Abaya,casual,Adults,Free Size,"Cotton Blend, Denim-like",Mid-Range,Full body wear,"Smooth fabric, Woven, Gathers, Front buttons",Female,Denim Blue,Full sleeves,"casual, daily wear, religious events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_338.jpg,APRL_003,Women's Embroidered Suit,traditional,full_image,Adults,M,Cotton Blend,Mid-Range,Suit set,"Smooth fabric, Embroidery, Printed dupatta",Female,"Teal, White",Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, hourglass, pear, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
img_339.jpg,D.NO-2001 A,Sharara Suit,traditional,https://i.imgur.com/3Z6HlWd.jpeg,Adults,L,Georgette Blend,Mid-Range,Suit Set,"Smooth fabric, Embroidery, Beaded Embellishment",Female,"Olive Green, White",Full sleeves,"casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_340.jpg,APRL_001,Embroidered Kaftan Dress,Full length image of woman wearing blue embroidered kaftan dress,,Adults,L,Georgette,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,"Blue, Gold embroidery",Full sleeves,"casual, party, wedding, formal, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_341.jpg,APRL_003,Anarkali Gown,traditional,Adults,"S, M, L, XL",Georgette Blend,High-Range,Gown,"Embroidered, Shimmer, Flowy, Soft fabric",Female,"Fuchsia Pink, Orange, Gold",Full sleeves,"Wedding, Festive, Party, Reception, Engagements","hourglass, pear, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_342.jpg,APRL_003,Women's Anarkali Sharara Suit,traditional,,Adults,L,Art Silk Blend,Mid-Range,Full Suit,"Smooth fabric, Intricate gold embroidery",Female,"Dusky Pink, Gold",Full sleeves,"festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_343.jpg,APRL_001,Embellished Kaftan Dress,traditional,N/A,Adults,Free Size,Georgette,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,Turquoise,Full sleeves,"party, wedding, formal, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","fair, light, tan, olive","cool, neutral"
img_344.jpg,APRL_001,Embellished Yellow Kaftan Maxi Dress,Ethnic,image_url_placeholder,Adults,Free Size,Chiffon,Mid-Range,Dress,"Smooth fabric, Embellished, Flowy, Sheer",Female,Yellow,"Full sleeves, Bell sleeves","festive, party, wedding, casual","hourglass, pear, apple, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral"
img_345.jpg,APRL_001,Embellished Strapless Gown,formal,Adults,M,"Crepe, Georgette Blend with Zari and Sequin Embellishments",Mid-Range,Dress,"Smooth fabric, Beaded, Embroidered, Shimmering",Female,"Black, Silver, Gold",Strapless,"evening parties, formal events, weddings, galas, cocktail parties","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_346.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,L,Chiffon Blend,Mid-Range,Top wear,"Sheer, Flowing, Embellished, Embroidered",Female,"Orange, Off-white, Multi-color embroidery",Long sleeves,"casual, party, festive, wedding, cultural events","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_347.jpg,APRL_003,Kaftan Dress,traditional,original_image.jpg,Adults,L,Polyester Blend,Mid-Range,Full Dress,"Smooth fabric, Embroidery, Embellished",Female,"Black, Gold",Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_348.jpg,APRL_001,Women's Floral Print Midi Dress,floral,ethnic,casual,,Adults,M,Cotton,Mid-Range,Dress,"Smooth fabric, Floral print",Female,"Navy blue, Light blue",Three-quarter sleeves,"casual, daily wear, brunch, summer, spring, festive","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart","fair, light, tan, olive, dark, ebony","cool, neutral, warm"
img_349.jpg,APRL_001,Men's Kurta Set with Nehru Jacket,traditional_outfit,,Adults,M,"Silk Blend, Cotton Blend",Mid-Range,"Top wear, Bottom wear","Smooth fabric, Geometric pattern, Decorative pin",Male,"Dark Teal, Off-white, Grey",Full sleeves,"Weddings, festive occasions, parties, cultural events, formal gatherings","rectangle, inverted triangle, pear, apple","oval, rectangular, square, diamond","tan, olive, fair, light, dark","neutral, cool"
